Node Number =    6212
          6047.46729         12787.59668            13.58951
          6247.52686         12787.59668            13.58950
          6447.58643         12787.59668            13.58950
          6647.64600         12787.59668            13.58949
          6847.70557         12787.59668            13.58713
          7047.76514         12787.59668            13.58947
          7247.82471         12787.59668            13.58953
          7447.88428         12787.59668            13.58945
          7647.94385         12787.59668            13.58919
          7848.00293         12787.59668            13.58886
          8048.06250         12787.59668            13.58885
          8248.12207         12787.59668            13.59026
          8448.18164         12787.59668            13.58941
          8648.24121         12787.59668            13.58940
          8848.30078         12787.59668            13.58939
          9048.36035         12787.59668            13.57039
          9248.41992         12787.59668            13.58938
          9448.47949         12787.59668            13.58813
          9648.53906         12787.59668            13.58936
          9848.59863         12787.59668            13.58935
         10048.65820         12787.59668            13.58934
         10248.71777         12787.59668            13.58933
         10448.77734         12787.59668            13.58932
         10648.83691         12787.59668            13.58599
         10848.89648         12787.59668            13.58931
         11048.95605         12787.59668            13.58937
         11249.01562         12787.59668            13.57656
         11449.07520         12787.59668            13.58928
         11649.13477         12787.59668            13.58931
         11849.19434         12787.59668            13.58926
         12049.25293         12787.59473            13.58926
         12249.31055         12787.59863            13.58925
         12449.36816         12787.58789            13.58923
         12649.39062         12787.66797            13.58698
         12849.50977         12787.57617            13.58920
         13049.32324         12788.01172            13.58969
         13249.85938         12787.74414            13.57631
         13450.07324         12787.46680            13.58902
         13649.54785         12787.12793            13.58882
         13853.33203         12785.71094            13.58683
         14041.55176         12785.58691            13.58872
         14191.48828         12782.79199            13.59336
         14336.11719         12679.08203            13.39645
         14507.63965         12591.92773            13.27087
         14680.39844         12703.88184            13.44804
         14853.62500         12576.05957            13.25276
         15026.81934         12648.11133            13.33030
         15200.00000         12600.00000            13.28000
           173.19757         12443.50488            13.00255
             0.00000         12400.00000            12.96000
           346.37949         12326.90332            12.85787
           519.58954         12426.62695            12.99166
           693.08966         12527.11133            13.18954
           865.94983         12426.82129            12.98980
          1036.94861         12506.21387            13.13463
          1202.84192         12544.25000            13.22042
          1381.81250         12461.39746            13.02956
          1511.51526         12603.66992            13.28406
          1711.41516         12597.20117            13.27691
          1918.82385         12612.38086            13.29386
          2120.70947         12614.27051            13.29599
          2321.11157         12614.31641            13.29601
          2521.30688         12614.37598            13.29607
          2721.45728         12614.38184            13.29769
          2921.60498         12614.38770            13.29606
          3121.75439         12614.38574            13.29605
          3321.89966         12614.38965            13.29605
          3522.04907         12614.38867            13.29603
          3722.19507         12614.38965            13.28787
          3922.34521         12614.38965            13.29601
          4122.48877         12614.38574            13.29600
